Codigo Localidad,Localidad,TipoSector,Codigo Barrio,Barrio,BarrioAnt
16,PUENTE ARANDA,URBANO,4405,OSPINA PEREZ SUR,
16,PUENTE ARANDA,URBANO,4406,OSPINA PEREZ,
16,PUENTE ARANDA,URBANO,4407,ALCALA,
16,PUENTE ARANDA,URBANO,4408,TEJAR,
16,PUENTE ARANDA,URBANO,4409,ALQUERIA,
16,PUENTE ARANDA,URBANO,4412,REMANSO SUR,
16,PUENTE ARANDA,URBANO,4413,AUTOPISTA MUZU ORIENTAL,
8,KENNEDY,URBANO,4501,HIPOTECHO,
8,KENNEDY,URBANO,4502,HIPOTECHO,
,,,,OCCIDENTAL,
8,KENNEDY,URBANO,4503,PROVIVIENDA ORIENTAL,
8,KENNEDY,URBANO,4504,PROVIVIENDA,
8,KENNEDY,URBANO,4505,PROVIVIENDA OCCIDENTAL,
8,KENNEDY,URBANO,4506,LA CAMPIÑA,
8,KENNEDY,URBANO,4507,CIUDAD KENNEDY SUR,
8,KENNEDY,URBANO,4508,CIUDAD KENNEDY OCCIDENTAL,
8,KENNEDY,URBANO,4509,CIUDAD KENNEDY,
8,KENNEDY,URBANO,4510,CIUDAD KENNEDY ORIENTAL,
8,KENNEDY,URBANO,4511,CIUDAD KENNEDY CENTRAL,
8,KENNEDY,URBANO,4512,TIMIZA,
7,BOSA,URBANO,4513,SAN DIEGO-BOSA,
8,KENNEDY,URBANO,4514,CIUDAD KENNEDY NORTE,
8,KENNEDY,URBANO,4515,TUNDAMA,
8,KENNEDY,URBANO,4516,BOITA,
8,KENNEDY,URBANO,4517,JACQUELINE,
8,KENNEDY,URBANO,4518,TIMIZA A,
7,BOSA,URBANO,4519,ESCOCIA,
7,BOSA,URBANO,4520,LA PAZ BOSA,
7,BOSA,URBANO,4521,LA ESTACION BOSA,
7,BOSA,URBANO,4522,BOSA,
7,BOSA,URBANO,4523,JIMENEZ DE QUESADA,
7,BOSA,URBANO,4524,SAN PABLO BOSA,
8,KENNEDY,URBANO,4525,PASTRANA,
7,BOSA,URBANO,4526,BOSA NOVA,
7,BOSA,URBANO,4527,NUEVA GRANADA BOSA,
